nohup: ignoring input
2018-04-09 09:29:22.952820: I tensorflow/core/platform/cpu_feature_guard.cc:140] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
Filling queue with 20000 CIFAR images before starting to train. This will take a few minutes.
2018-04-09 09:29:29.338564: step 0, loss = 4.66 (197.5 examples/sec; 0.648 sec/batch)
2018-04-09 09:37:07.555094: step 450, loss = 2.89 (126.2 examples/sec; 1.014 sec/batch)
2018-04-09 09:37:17.698465: step 460, loss = 2.58 (126.2 examples/sec; 1.014 sec/batch)
2018-04-09 09:37:27.887904: step 470, loss = 2.65 (125.6 examples/sec; 1.019 sec/batch)
2018-04-09 09:37:38.029738: step 480, loss = 2.49 (126.2 examples/sec; 1.014 sec/batch)
2018-04-09 09:37:48.152465: step 490, loss = 2.50 (126.4 examples/sec; 1.012 sec/batch)
2018-04-09 09:37:58.581606: step 500, loss = 2.51 (122.7 examples/sec; 1.043 sec/batch)
2018-04-09 09:38:08.749800: step 510, loss = 2.67 (125.9 examples/sec; 1.017 sec/batch)
2018-04-09 09:38:18.910382: step 520, loss = 2.85 (126.0 examples/sec; 1.016 sec/batch)
2018-04-09 09:38:29.027128: step 530, loss = 2.44 (126.5 examples/sec; 1.012 sec/batch)
2018-04-09 09:38:39.189214: step 540, loss = 2.49 (126.0 examples/sec; 1.016 sec/batch)
2018-04-09 09:38:49.326835: step 550, loss = 2.69 (126.3 examples/sec; 1.014 sec/batch)
2018-04-09 09:38:59.466711: step 560, loss = 2.51 (126.2 examples/sec; 1.014 sec/batch)
2018-04-09 09:39:09.754629: step 570, loss = 2.46 (124.4 examples/sec; 1.029 sec/batch)
2018-04-09 09:39:19.930630: step 580, loss = 2.57 (125.8 examples/sec; 1.018 sec/batch)
2018-04-09 09:39:30.189258: step 590, loss = 2.55 (124.8 examples/sec; 1.026 sec/batch)
2018-04-09 09:39:40.625230: step 600, loss = 2.35 (122.7 examples/sec; 1.044 sec/batch)
2018-04-09 09:39:50.731270: step 610, loss = 2.23 (126.7 examples/sec; 1.011 sec/batch)
2018-04-09 09:40:00.863128: step 620, loss = 2.52 (126.3 examples/sec; 1.013 sec/batch)
2018-04-09 09:40:11.070337: step 630, loss = 2.34 (125.4 examples/sec; 1.021 sec/batch)
2018-04-09 09:40:21.198803: step 640, loss = 2.35 (126.4 examples/sec; 1.013 sec/batch)
2018-04-09 09:40:31.283545: step 650, loss = 2.39 (126.9 examples/sec; 1.008 sec/batch)
2018-04-09 09:40:41.404997: step 660, loss = 2.62 (126.5 examples/sec; 1.012 sec/batch)
2018-04-09 09:40:51.458094: step 670, loss = 2.25 (127.3 examples/sec; 1.005 sec/batch)
2018-04-09 09:41:01.593028: step 680, loss = 2.33 (126.3 examples/sec; 1.013 sec/batch)
2018-04-09 09:41:11.679256: step 690, loss = 2.48 (126.9 examples/sec; 1.009 sec/batch)
2018-04-09 09:41:22.009990: step 700, loss = 2.22 (123.9 examples/sec; 1.033 sec/batch)
2018-04-09 09:41:32.052714: step 710, loss = 2.29 (127.5 examples/sec; 1.004 sec/batch)
2018-04-09 09:41:42.164267: step 720, loss = 2.10 (126.6 examples/sec; 1.011 sec/batch)
2018-04-09 09:41:52.220632: step 730, loss = 2.46 (127.3 examples/sec; 1.006 sec/batch)
2018-04-09 09:42:02.291810: step 740, loss = 2.36 (127.1 examples/sec; 1.007 sec/batch)
2018-04-09 09:42:12.397307: step 750, loss = 2.45 (126.7 examples/sec; 1.011 sec/batch)
2018-04-09 09:42:22.430519: step 760, loss = 2.19 (127.6 examples/sec; 1.003 sec/batch)
2018-04-09 09:42:32.459553: step 770, loss = 2.10 (127.6 examples/sec; 1.003 sec/batch)
2018-04-09 09:42:42.495619: step 780, loss = 2.24 (127.5 examples/sec; 1.004 sec/batch)
2018-04-09 09:42:52.476517: step 790, loss = 2.07 (128.2 examples/sec; 0.998 sec/batch)
2018-04-09 09:43:02.911931: step 800, loss = 2.10 (122.7 examples/sec; 1.044 sec/batch)
2018-04-09 09:43:12.980571: step 810, loss = 2.16 (127.1 examples/sec; 1.007 sec/batch)
2018-04-09 09:43:23.004709: step 820, loss = 2.21 (127.7 examples/sec; 1.002 sec/batch)
2018-04-09 09:43:33.044061: step 830, loss = 2.03 (127.5 examples/sec; 1.004 sec/batch)
2018-04-09 09:43:43.088183: step 840, loss = 1.90 (127.4 examples/sec; 1.004 sec/batch)
2018-04-09 09:43:53.117698: step 850, loss = 1.98 (127.6 examples/sec; 1.003 sec/batch)
2018-04-09 09:44:03.216813: step 860, loss = 1.95 (126.7 examples/sec; 1.010 sec/batch)
2018-04-09 09:44:13.287547: step 870, loss = 2.03 (127.1 examples/sec; 1.007 sec/batch)
2018-04-09 09:44:23.311292: step 880, loss = 1.80 (127.7 examples/sec; 1.002 sec/batch)
2018-04-09 09:44:33.365996: step 890, loss = 2.08 (127.3 examples/sec; 1.005 sec/batch)
2018-04-09 09:44:43.761010: step 900, loss = 2.04 (123.1 examples/sec; 1.040 sec/batch)
2018-04-09 09:44:53.733244: step 910, loss = 1.87 (128.4 examples/sec; 0.997 sec/batch)
2018-04-09 09:45:03.789028: step 920, loss = 2.17 (127.3 examples/sec; 1.006 sec/batch)
2018-04-09 09:45:13.813973: step 930, loss = 2.00 (127.7 examples/sec; 1.002 sec/batch)
2018-04-09 09:45:23.863697: step 940, loss = 2.02 (127.4 examples/sec; 1.005 sec/batch)
2018-04-09 09:45:33.886997: step 950, loss = 2.03 (127.7 examples/sec; 1.002 sec/batch)
2018-04-09 09:45:43.977668: step 960, loss = 1.80 (126.8 examples/sec; 1.009 sec/batch)
2018-04-09 09:45:53.964026: step 970, loss = 1.76 (128.2 examples/sec; 0.999 sec/batch)
2018-04-09 09:46:04.012542: step 980, loss = 1.79 (127.4 examples/sec; 1.005 sec/batch)
2018-04-09 09:46:14.033926: step 990, loss = 2.09 (127.7 examples/sec; 1.002 sec/batch)
2018-04-09 09:46:24.313039: step 1000, loss = 1.89 (124.5 examples/sec; 1.028 sec/batch)
2018-04-09 09:46:34.315675: step 1010, loss = 1.76 (128.0 examples/sec; 1.000 sec/batch)
2018-04-09 09:46:44.329134: step 1020, loss = 1.78 (127.8 examples/sec; 1.001 sec/batch)
2018-04-09 09:46:54.290270: step 1030, loss = 1.72 (128.5 examples/sec; 0.996 sec/batch)
2018-04-09 09:47:04.328862: step 1040, loss = 1.86 (127.5 examples/sec; 1.004 sec/batch)
2018-04-09 09:47:14.376043: step 1050, loss = 2.05 (127.4 examples/sec; 1.005 sec/batch)
2018-04-09 09:47:24.419121: step 1060, loss = 1.94 (127.5 examples/sec; 1.004 sec/batch)
2018-04-09 09:47:34.453002: step 1070, loss = 1.84 (127.6 examples/sec; 1.003 sec/batch)
2018-04-09 09:47:44.517411: step 1080, loss = 2.04 (127.2 examples/sec; 1.006 sec/batch)
2018-04-09 09:47:54.546105: step 1090, loss = 1.74 (127.6 examples/sec; 1.003 sec/batch)
2018-04-09 09:48:04.906488: step 1100, loss = 1.78 (123.5 examples/sec; 1.036 sec/batch)
2018-04-09 09:48:14.950347: step 1110, loss = 1.67 (127.4 examples/sec; 1.004 sec/batch)
2018-04-09 09:48:24.924653: step 1120, loss = 1.84 (128.3 examples/sec; 0.997 sec/batch)
2018-04-09 09:48:34.908360: step 1130, loss = 1.63 (128.2 examples/sec; 0.998 sec/batch)
2018-04-09 09:48:44.884448: step 1140, loss = 1.69 (128.3 examples/sec; 0.998 sec/batch)
2018-04-09 09:48:54.881447: step 1150, loss = 1.78 (128.0 examples/sec; 1.000 sec/batch)
2018-04-09 09:49:04.901819: step 1160, loss = 1.58 (127.7 examples/sec; 1.002 sec/batch)
2018-04-09 09:49:14.896357: step 1170, loss = 1.95 (128.1 examples/sec; 0.999 sec/batch)
2018-04-09 09:49:24.833455: step 1180, loss = 1.71 (128.8 examples/sec; 0.994 sec/batch)
2018-04-09 09:49:34.881801: step 1190, loss = 1.64 (127.4 examples/sec; 1.005 sec/batch)
2018-04-09 09:49:45.251284: step 1200, loss = 1.51 (123.4 examples/sec; 1.037 sec/batch)
2018-04-09 09:49:55.305656: step 1210, loss = 1.74 (127.3 examples/sec; 1.005 sec/batch)
2018-04-09 09:50:05.368355: step 1220, loss = 1.55 (127.2 examples/sec; 1.006 sec/batch)
2018-04-09 09:50:15.432150: step 1230, loss = 1.46 (127.2 examples/sec; 1.006 sec/batch)
2018-04-09 09:50:25.425481: step 1240, loss = 1.60 (128.1 examples/sec; 0.999 sec/batch)
2018-04-09 09:50:35.396264: step 1250, loss = 1.50 (128.4 examples/sec; 0.997 sec/batch)
2018-04-09 09:50:45.373613: step 1260, loss = 1.49 (128.3 examples/sec; 0.998 sec/batch)
2018-04-09 09:50:55.365080: step 1270, loss = 1.45 (128.1 examples/sec; 0.999 sec/batch)
2018-04-09 09:51:05.405815: step 1280, loss = 1.58 (127.5 examples/sec; 1.004 sec/batch)
2018-04-09 09:51:15.377167: step 1290, loss = 1.49 (128.4 examples/sec; 0.997 sec/batch)
2018-04-09 09:51:25.628719: step 1300, loss = 1.63 (124.9 examples/sec; 1.025 sec/batch)
2018-04-09 09:51:35.609593: step 1310, loss = 1.50 (128.2 examples/sec; 0.998 sec/batch)
2018-04-09 09:51:45.563335: step 1320, loss = 1.31 (128.6 examples/sec; 0.995 sec/batch)
2018-04-09 09:51:55.512843: step 1330, loss = 1.47 (128.6 examples/sec; 0.995 sec/batch)
2018-04-09 09:52:05.510261: step 1340, loss = 1.51 (128.0 examples/sec; 1.000 sec/batch)
2018-04-09 09:52:15.498238: step 1350, loss = 1.36 (128.2 examples/sec; 0.999 sec/batch)
2018-04-09 09:52:25.431505: step 1360, loss = 1.42 (128.9 examples/sec; 0.993 sec/batch)
2018-04-09 09:52:35.361002: step 1370, loss = 1.32 (128.9 examples/sec; 0.993 sec/batch)
2018-04-09 09:52:45.302063: step 1380, loss = 1.40 (128.8 examples/sec; 0.994 sec/batch)
2018-04-09 09:52:55.250400: step 1390, loss = 1.51 (128.7 examples/sec; 0.995 sec/batch)
2018-04-09 09:53:05.562002: step 1400, loss = 1.49 (124.1 examples/sec; 1.031 sec/batch)
2018-04-09 09:53:15.537744: step 1410, loss = 1.40 (128.3 examples/sec; 0.998 sec/batch)
2018-04-09 09:53:25.426794: step 1420, loss = 1.38 (129.4 examples/sec; 0.989 sec/batch)
2018-04-09 09:53:35.318353: step 1430, loss = 1.47 (129.4 examples/sec; 0.989 sec/batch)
2018-04-09 09:53:45.242858: step 1440, loss = 1.35 (129.0 examples/sec; 0.992 sec/batch)
2018-04-09 09:53:55.148167: step 1450, loss = 1.27 (129.2 examples/sec; 0.991 sec/batch)
2018-04-09 09:54:05.145732: step 1460, loss = 1.34 (128.0 examples/sec; 1.000 sec/batch)
2018-04-09 09:54:15.095704: step 1470, loss = 1.27 (128.6 examples/sec; 0.995 sec/batch)
2018-04-09 09:54:24.999323: step 1480, loss = 1.52 (129.2 examples/sec; 0.990 sec/batch)
2018-04-09 09:54:34.899144: step 1490, loss = 1.33 (129.3 examples/sec; 0.990 sec/batch)
2018-04-09 09:54:45.141367: step 1500, loss = 1.36 (125.0 examples/sec; 1.024 sec/batch)
2018-04-09 09:54:55.072990: step 1510, loss = 1.36 (128.9 examples/sec; 0.993 sec/batch)
2018-04-09 09:55:05.041263: step 1520, loss = 1.40 (128.4 examples/sec; 0.997 sec/batch)
2018-04-09 09:55:14.978281: step 1530, loss = 1.22 (128.8 examples/sec; 0.994 sec/batch)
2018-04-09 09:55:25.022871: step 1540, loss = 1.54 (127.4 examples/sec; 1.004 sec/batch)
2018-04-09 09:55:34.932179: step 1550, loss = 1.28 (129.2 examples/sec; 0.991 sec/batch)
2018-04-09 09:55:44.870433: step 1560, loss = 1.23 (128.8 examples/sec; 0.994 sec/batch)
2018-04-09 09:55:54.778730: step 1570, loss = 1.36 (129.2 examples/sec; 0.991 sec/batch)
2018-04-09 09:56:04.788038: step 1580, loss = 1.34 (127.9 examples/sec; 1.001 sec/batch)
2018-04-09 09:56:14.704945: step 1590, loss = 1.31 (129.1 examples/sec; 0.992 sec/batch)
2018-04-09 09:56:24.900299: step 1600, loss = 1.16 (125.5 examples/sec; 1.020 sec/batch)
2018-04-09 09:56:34.818433: step 1610, loss = 1.49 (129.1 examples/sec; 0.992 sec/batch)
2018-04-09 09:56:44.705735: step 1620, loss = 1.27 (129.5 examples/sec; 0.989 sec/batch)
2018-04-09 09:56:54.600486: step 1630, loss = 1.30 (129.4 examples/sec; 0.989 sec/batch)
2018-04-09 09:57:04.571606: step 1640, loss = 1.12 (128.4 examples/sec; 0.997 sec/batch)
2018-04-09 09:57:14.541260: step 1650, loss = 1.15 (128.4 examples/sec; 0.997 sec/batch)
2018-04-09 09:57:24.458602: step 1660, loss = 1.14 (129.1 examples/sec; 0.992 sec/batch)
2018-04-09 09:57:34.388159: step 1670, loss = 1.24 (128.9 examples/sec; 0.993 sec/batch)
2018-04-09 09:57:44.325820: step 1680, loss = 1.26 (128.8 examples/sec; 0.994 sec/batch)
2018-04-09 09:57:54.244302: step 1690, loss = 1.13 (129.1 examples/sec; 0.992 sec/batch)
2018-04-09 09:58:04.521334: step 1700, loss = 1.44 (124.5 examples/sec; 1.028 sec/batch)
2018-04-09 09:58:14.480674: step 1710, loss = 1.10 (128.5 examples/sec; 0.996 sec/batch)
2018-04-09 09:58:24.374129: step 1720, loss = 1.03 (129.4 examples/sec; 0.989 sec/batch)
2018-04-09 09:58:34.292168: step 1730, loss = 1.15 (129.1 examples/sec; 0.992 sec/batch)
2018-04-09 09:58:44.224232: step 1740, loss = 1.05 (128.9 examples/sec; 0.993 sec/batch)
2018-04-09 09:58:54.169356: step 1750, loss = 1.31 (128.7 examples/sec; 0.995 sec/batch)
2018-04-09 09:59:04.163636: step 1760, loss = 1.04 (128.1 examples/sec; 0.999 sec/batch)
2018-04-09 09:59:14.292804: step 1770, loss = 1.11 (126.4 examples/sec; 1.013 sec/batch)
2018-04-09 09:59:24.200755: step 1780, loss = 1.07 (129.2 examples/sec; 0.991 sec/batch)
2018-04-09 09:59:34.212607: step 1790, loss = 0.98 (127.8 examples/sec; 1.001 sec/batch)
2018-04-09 09:59:44.455109: step 1800, loss = 1.18 (125.0 examples/sec; 1.024 sec/batch)
2018-04-09 09:59:54.391733: step 1810, loss = 1.08 (128.8 examples/sec; 0.994 sec/batch)
2018-04-09 10:00:04.407301: step 1820, loss = 1.82 (127.8 examples/sec; 1.002 sec/batch)
2018-04-09 10:00:14.350940: step 1830, loss = 1.17 (128.7 examples/sec; 0.994 sec/batch)
2018-04-09 10:00:24.291644: step 1840, loss = 0.97 (128.8 examples/sec; 0.994 sec/batch)
2018-04-09 10:00:34.259555: step 1850, loss = 1.86 (128.4 examples/sec; 0.997 sec/batch)
2018-04-09 10:00:44.173898: step 1860, loss = 1.18 (129.1 examples/sec; 0.991 sec/batch)
2018-04-09 10:00:54.033358: step 1870, loss = 1.02 (129.8 examples/sec; 0.986 sec/batch)
2018-04-09 10:01:04.034605: step 1880, loss = 1.26 (128.0 examples/sec; 1.000 sec/batch)
2018-04-09 10:01:13.997245: step 1890, loss = 1.08 (128.5 examples/sec; 0.996 sec/batch)
2018-04-09 10:01:24.202059: step 1900, loss = 1.11 (125.4 examples/sec; 1.020 sec/batch)
2018-04-09 10:01:34.085944: step 1910, loss = 1.03 (129.5 examples/sec; 0.988 sec/batch)
2018-04-09 10:01:43.963983: step 1920, loss = 1.06 (129.6 examples/sec; 0.988 sec/batch)
2018-04-09 10:01:53.849130: step 1930, loss = 1.17 (129.5 examples/sec; 0.989 sec/batch)
2018-04-09 10:02:03.785692: step 1940, loss = 0.84 (128.8 examples/sec; 0.994 sec/batch)
2018-04-09 10:02:13.741322: step 1950, loss = 1.09 (128.6 examples/sec; 0.996 sec/batch)
2018-04-09 10:02:23.650484: step 1960, loss = 1.07 (129.2 examples/sec; 0.991 sec/batch)
2018-04-09 10:02:33.602764: step 1970, loss = 1.02 (128.6 examples/sec; 0.995 sec/batch)
2018-04-09 10:02:43.562756: step 1980, loss = 0.95 (128.5 examples/sec; 0.996 sec/batch)
2018-04-09 10:02:53.486794: step 1990, loss = 1.05 (129.0 examples/sec; 0.992 sec/batch)
2018-04-09 10:03:03.744639: step 2000, loss = 0.97 (124.8 examples/sec; 1.026 sec/batch)
2018-04-09 10:03:13.732647: step 2010, loss = 0.99 (128.2 examples/sec; 0.999 sec/batch)
2018-04-09 10:03:23.641923: step 2020, loss = 1.29 (129.2 examples/sec; 0.991 sec/batch)
2018-04-09 10:03:33.529193: step 2030, loss = 0.84 (129.5 examples/sec; 0.989 sec/batch)
2018-04-09 10:03:43.505191: step 2040, loss = 1.08 (128.3 examples/sec; 0.998 sec/batch)
2018-04-09 10:03:53.439243: step 2050, loss = 0.97 (128.8 examples/sec; 0.993 sec/batch)
2018-04-09 10:04:03.419722: step 2060, loss = 0.94 (128.3 examples/sec; 0.998 sec/batch)
2018-04-09 10:04:13.385170: step 2070, loss = 1.00 (128.4 examples/sec; 0.997 sec/batch)
2018-04-09 10:04:23.316477: step 2080, loss = 0.94 (128.9 examples/sec; 0.993 sec/batch)
2018-04-09 10:04:33.251825: step 2090, loss = 0.87 (128.8 examples/sec; 0.994 sec/batch)
2018-04-09 10:04:43.484478: step 2100, loss = 1.02 (125.1 examples/sec; 1.023 sec/batch)
2018-04-09 10:04:53.428540: step 2110, loss = 1.04 (128.7 examples/sec; 0.994 sec/batch)
2018-04-09 10:05:03.405809: step 2120, loss = 0.87 (128.3 examples/sec; 0.998 sec/batch)
2018-04-09 10:05:13.370523: step 2130, loss = 0.95 (128.5 examples/sec; 0.996 sec/batch)
2018-04-09 10:05:23.385456: step 2140, loss = 0.89 (127.8 examples/sec; 1.001 sec/batch)
2018-04-09 10:05:33.310775: step 2150, loss = 1.13 (129.0 examples/sec; 0.993 sec/batch)
2018-04-09 10:05:43.301738: step 2160, loss = 1.23 (128.1 examples/sec; 0.999 sec/batch)
2018-04-09 10:05:53.210256: step 2170, loss = 1.04 (129.2 examples/sec; 0.991 sec/batch)
2018-04-09 10:06:03.181864: step 2180, loss = 1.10 (128.4 examples/sec; 0.997 sec/batch)
2018-04-09 10:06:13.119693: step 2190, loss = 0.83 (128.8 examples/sec; 0.994 sec/batch)
2018-04-09 10:06:23.399181: step 2200, loss = 1.17 (124.5 examples/sec; 1.028 sec/batch)
2018-04-09 10:06:33.305335: step 2210, loss = 0.98 (129.2 examples/sec; 0.991 sec/batch)
2018-04-09 10:06:43.176456: step 2220, loss = 0.92 (129.7 examples/sec; 0.987 sec/batch)
2018-04-09 10:06:53.039214: step 2230, loss = 0.86 (129.8 examples/sec; 0.986 sec/batch)
2018-04-09 10:07:02.915479: step 2240, loss = 0.75 (129.6 examples/sec; 0.988 sec/batch)
2018-04-09 10:07:12.835507: step 2250, loss = 0.77 (129.0 examples/sec; 0.992 sec/batch)
2018-04-09 10:07:22.702018: step 2260, loss = 1.11 (129.7 examples/sec; 0.987 sec/batch)
2018-04-09 10:07:32.472975: step 2270, loss = 0.87 (131.0 examples/sec; 0.977 sec/batch)
2018-04-09 10:07:42.288412: step 2280, loss = 0.83 (130.4 examples/sec; 0.982 sec/batch)
2018-04-09 10:07:52.131675: step 2290, loss = 0.76 (130.0 examples/sec; 0.984 sec/batch)
2018-04-09 10:08:02.315134: step 2300, loss = 1.17 (125.7 examples/sec; 1.018 sec/batch)
2018-04-09 10:08:12.214052: step 2310, loss = 0.81 (129.3 examples/sec; 0.990 sec/batch)
2018-04-09 10:08:22.058508: step 2320, loss = 0.84 (130.0 examples/sec; 0.984 sec/batch)
2018-04-09 10:08:31.897623: step 2330, loss = 0.82 (130.1 examples/sec; 0.984 sec/batch)
2018-04-09 10:08:41.798376: step 2340, loss = 0.78 (129.3 examples/sec; 0.990 sec/batch)
2018-04-09 10:08:51.664766: step 2350, loss = 0.84 (129.7 examples/sec; 0.987 sec/batch)
2018-04-09 10:09:01.521410: step 2360, loss = 0.90 (129.9 examples/sec; 0.986 sec/batch)
2018-04-09 10:09:11.564965: step 2370, loss = 0.75 (127.4 examples/sec; 1.004 sec/batch)
2018-04-09 10:09:21.480196: step 2380, loss = 0.75 (129.1 examples/sec; 0.992 sec/batch)
2018-04-09 10:09:31.526968: step 2390, loss = 0.98 (127.4 examples/sec; 1.005 sec/batch)
2018-04-09 10:09:41.646439: step 2400, loss = 0.69 (126.5 examples/sec; 1.012 sec/batch)
2018-04-09 10:09:51.516498: step 2410, loss = 0.79 (129.7 examples/sec; 0.987 sec/batch)
2018-04-09 10:10:01.388931: step 2420, loss = 0.85 (129.7 examples/sec; 0.987 sec/batch)
2018-04-09 10:10:11.334217: step 2430, loss = 0.74 (128.7 examples/sec; 0.995 sec/batch)
2018-04-09 10:10:21.241161: step 2440, loss = 0.63 (129.2 examples/sec; 0.991 sec/batch)
2018-04-09 10:10:31.139901: step 2450, loss = 0.95 (129.3 examples/sec; 0.990 sec/batch)
2018-04-09 10:10:41.067798: step 2460, loss = 0.75 (128.9 examples/sec; 0.993 sec/batch)
2018-04-09 10:10:50.984574: step 2470, loss = 0.77 (129.1 examples/sec; 0.992 sec/batch)
2018-04-09 10:11:00.939847: step 2480, loss = 0.84 (128.6 examples/sec; 0.996 sec/batch)
2018-04-09 10:11:10.871107: step 2490, loss = 0.75 (128.9 examples/sec; 0.993 sec/batch)
2018-04-09 10:11:21.021520: step 2500, loss = 0.70 (126.1 examples/sec; 1.015 sec/batch)
2018-04-09 10:11:30.918384: step 2510, loss = 0.94 (129.3 examples/sec; 0.990 sec/batch)
2018-04-09 10:11:40.829537: step 2520, loss = 1.02 (129.1 examples/sec; 0.991 sec/batch)
2018-04-09 10:11:50.765561: step 2530, loss = 0.69 (128.8 examples/sec; 0.994 sec/batch)
2018-04-09 10:12:00.693640: step 2540, loss = 0.72 (128.9 examples/sec; 0.993 sec/batch)
2018-04-09 10:12:10.620014: step 2550, loss = 0.68 (128.9 examples/sec; 0.993 sec/batch)
2018-04-09 10:12:24.243688: step 2560, loss = 0.71 (94.0 examples/sec; 1.362 sec/batch)
2018-04-09 10:12:38.355859: step 2570, loss = 0.89 (90.7 examples/sec; 1.411 sec/batch)
2018-04-09 10:12:48.211898: step 2580, loss = 0.72 (129.9 examples/sec; 0.986 sec/batch)
2018-04-09 10:12:58.055325: step 2590, loss = 0.69 (130.0 examples/sec; 0.984 sec/batch)
2018-04-09 10:13:08.249001: step 2600, loss = 0.68 (125.6 examples/sec; 1.019 sec/batch)
2018-04-09 10:13:18.146238: step 2610, loss = 1.18 (129.3 examples/sec; 0.990 sec/batch)
2018-04-09 10:13:27.930818: step 2620, loss = 0.81 (130.8 examples/sec; 0.978 sec/batch)
2018-04-09 10:13:37.717277: step 2630, loss = 0.67 (130.8 examples/sec; 0.979 sec/batch)
2018-04-09 10:13:47.523966: step 2640, loss = 0.62 (130.5 examples/sec; 0.981 sec/batch)
